ORF_Info,Phi_Post_Arith_Mean,Phi_Post_Median,Phi_Post_Geom_Mean,Phi_Post_Harm_Mean,Phi_Post_SD
SAKL0A00132g,0.26479593060184,0.253108825530292,0.232762703726162,0.196025623799446,0.124909800270896
SAKL0A00154g,1.41228133832022,1.41255892019735,1.40177326482838,1.39104102650559,0.170899865436234
SAKL0A00176g,0.73964092311693,0.726814127076347,0.699340206083698,0.649189678564394,0.23127324695569
SAKL0A00198g,0.65408910949279,0.645454630484574,0.621523224370676,0.582957697364263,0.196107065328102
SAKL0A00220g,1.63188563451279,1.62901044289603,1.62173826867612,1.61145542700192,0.181064141193662
SAKL0A00242g,0.6104985628799,0.608244586814924,0.583452748907106,0.549869649334593,0.1712288089627
SAKL0A00264g,0.96848057193834,0.968553149726905,0.963908047573084,0.959288794593679,0.0937922208245794
SAKL0A00286g,0.138123488402169,0.121864062103152,0.115768178913593,0.0922216956516368,0.0792017398853645
SAKL0A00308g,2.97492708064047,2.97471564690129,2.96459028175144,2.95420924576845,0.247720160554377
SAKL0A00330g,0.228431725830535,0.214666997501477,0.198713681077644,0.165259881681666,0.113668757886744
SAKL0A00352g,0.743308364494359,0.742691298776171,0.722174177891557,0.698129352156653,0.16994784947647
SAKL0A00374g,0.861004677786021,0.863243086662783,0.847340555516832,0.833002311198814,0.150620548445554
SAKL0A00396g,1.10146830317808,1.09935222947039,1.06941458496616,1.03397930361184,0.256890671858611
SAKL0A00418g,0.566507902451598,0.562292676603295,0.53990799484568,0.508071152488631,0.164683693942184
SAKL0A00440g,0.880760651365204,0.880594687714473,0.87703566536609,0.87326281506195,0.0805845248797411
SAKL0A00462g,0.115612965161983,0.106775921728493,0.102292064962721,0.0877857884034477,0.0556385220659171
SAKL0A00484g,0.55890701646975,0.55692886348304,0.54608820714245,0.532356983734416,0.116842113558665
SAKL0A00506g,0.958913552218427,0.946911906452385,0.89177964854264,0.808747777734509,0.33881927680381
SAKL0A00528g,0.167390834471552,0.155647657495767,0.145316934727426,0.121588935261286,0.0852769251564465
SAKL0A00550g,0.350627634206759,0.331053537156627,0.300217555966999,0.241609729653253,0.181526361716063
SAKL0A00572g,0.947795806907861,0.947899781643973,0.942120314114619,0.936357647990975,0.103135627454003
SAKL0A00594g,1.02025183599707,1.02080638536646,1.01016449993968,0.999840103246125,0.142303747330428
SAKL0A00616g,1.23239600879782,1.21926257983725,1.1818450477953,1.12356028684951,0.340637076367226
SAKL0A00638g,0.162421630308379,0.143939420673293,0.1371121682185,0.111364481142632,0.0925432966666985
SAKL0A00660g,1.56065896821767,1.55750802417217,1.55335152784379,1.5459655924156,0.150430197346074
SAKL0A00704g,0.256926499561775,0.249363787405312,0.235315608340639,0.209889766602265,0.100359151972085
SAKL0A00726g,0.519186093464755,0.515764548042595,0.503326079489301,0.486320650504859,0.125320709134067
SAKL0A00748g,1.9186035038985,1.91242399075348,1.90644402701236,1.89409086175672,0.21470132107277
SAKL0A00770g,0.949597784862088,0.946825359354348,0.932191642828923,0.913997088376425,0.17908166858438
SAKL0A00792g,0.597079437696658,0.595704608513468,0.564438987407762,0.524616014316368,0.185986057448031
SAKL0A00814g,1.41611738947881,1.41347163256778,1.37047640739433,1.32062040477973,0.349414728096136
SAKL0A00836g,0.248944667759307,0.218845708379328,0.205398678752869,0.162642262186483,0.151934534088986
SAKL0A00858g,0.500444240854136,0.495270241352087,0.481732842104447,0.460751113404709,0.132367883800162
SAKL0A00880g,0.260939617906104,0.252107563230165,0.231335538276123,0.197249951976877,0.11873772211113
SAKL0A00902g,0.300648502983546,0.298967710060825,0.287207475918709,0.271806844261414,0.0861264615188257
SAKL0A00924g,0.829681292250536,0.830613200771909,0.81649287278723,0.802749314512987,0.145761767851577
